"K008552"	(2342.631376,0.000404179067)
"I002038"	(2968.517641,4.742628373e-05)
"M000340"	(2363.840147,3.965633787e-05)
"L002159"	(1483.2339,2.414787122e-05)
"L012789"	(1453.675799,2.512540591e-05)
"C009166"	(2441.046792,3.97616249e-05)
"K007390"	(807.9825965,1.291452744e-05)
"H000647"	(1149.047207,2.008109618e-05)
"N013834"	(334.7833438,5.37227826e-06)
"F007431"	(2701.653971,4.369512622e-05)
"N006106"	(1803.540605,2.9005422e-05)
"O005423"	(2432.521785,3.9224344e-05)
"G005766"	(279.9130374,3.987134369e-06)
"P012038"	(2500.88622,0.0002201522085)
"C002903"	(1177.365878,0.0001018801835)
"P002498"	(288.0348845,2.536124699e-05)
"A015509"	(1241.058781,0.0001073735705)
"G012356"	(1782.617176,0.0001525990826)
"N012482"	(2522.43318,0.0002159660467)
"H001804"	(1325.304399,0.0001191943044)
"Q000932"	(1765.366768,0.0001534857107)
"L010439"	(1471.12165,0.0001284925623)
"N007120"	(1762.267702,0.0001520967685)
"L008730"	(623.7158572,5.332748603e-05)
"O008299"	(2308.977035,0.0001994678499)
"O011283"	(2742.457899,0.0002347161014)
"J015101"	(2819.992042,0.0002425144125)
"N003747"	(2447.741333,0.0002123720972)
"H005113"	(909.5624635,7.761566795e-05)
"F003754"	(1445.962323,0.001036911513)
"O001325"	(2933.935432,0.002103247389)
"K002943"	(2521.257852,0.001807577056)
"E003449"	(262.4907713,0.0001884188668)
"K010506"	(762.8388585,0.0005475400268)
"G007039"	(423.9485239,0.0003038961088)
"G007650"	(2107.356256,0.001510568022)
"C014527"	(1955.543916,0.001401925004)
"F005223"	(2223.88895,0.001593088518)
"M010886"	(2256.389475,0.001616435546)
"L013913"	(2783.437831,0.001994226655)
"A012425"	(2646.165255,0.001894505408)
"N012471"	(953.6199031,0.0006830895282)
"G008005"	(2526.520813,0.001812690743)
"G012547"	(2288.025456,0.001638726713)
"L009378"	(2610.822811,0.001873752386)
"A013393"	(2426.075366,0.0006033581111)
"O009951"	(2445.098822,0.0006100078386)
"K013949"	(1704.958505,0.0004253519831)
"C002305"	(977.3265835,0.000245133518)
"A002624"	(286.1265813,7.139738115e-05)
"N006359"	(2142.940087,0.0005339873381)
"B012874"	(2340.89484,0.0005836650072)
"O006895"	(1614.859861,0.0004026547118)
"J014205"	(2386.207732,0.0005936927953)
"P013215"	(2214.830946,0.0005529563989)
"G014022"	(1284.958289,0.0003221851895)
"L013165"	(3013.246853,0.0007500350822)
"G003689"	(1724.456996,0.0004282678671)
"A002279"	(1866.560521,0.0004659648646)
"J013468"	(970.6076306,0.0002409725864)
"C005103"	(2084.513818,0.0005198520409)
"M001516"	(2586.900281,0.003924372159)
"P004559"	(1229.316363,0.001866412828)
"F001683"	(1076.158296,0.00163252906)
"F012087"	(1689.317034,0.002563526674)
"I005601"	(2477.131378,0.003756472718)
"P008741"	(2403.791538,0.003645667226)
"E002286"	(2433.532998,0.003691988401)
"N013530"	(1254.594863,0.001903397806)
"F007410"	(2163.226989,0.00328236027)
"D013315"	(2760.925873,0.004188504286)
"B002363"	(2552.231628,0.003869920374)
"P002995"	(1460.325571,0.002214704331)
"F011017"	(867.566982,0.001316807352)
"O006434"	(2347.560525,0.003561460762)
"F004410"	(2065.832972,0.003133427533)
"J005113"	(2685.014062,0.004072708972)
"N014441"	(1354.886722,0.001593197262)
"G003410"	(308.2986101,0.0003622599171)
"E009266"	(2931.988216,0.003448534311)
"D008540"	(2513.799391,0.002956768474)
"K009340"	(1571.899521,0.001849506319)
"F004786"	(2065.831856,0.002429376103)
"L001301"	(744.1404526,0.0008751624941)
"M004842"	(2473.69888,0.002909245478)
"K007017"	(2584.129714,0.003038434233)
"D012268"	(1671.558814,0.001967542038)
"G001952"	(2715.253764,0.003193417525)
"K010933"	(1628.797513,0.001916881118)
"K001117"	(1889.37571,0.002221401198)
"G001916"	(2452.184074,0.002885453556)
"G008803"	(2838.209591,0.003337364751)
"F010493"	(2766.108665,0.003252839148)
"J006340"	(2511.309499,0.002999573179)
"J011824"	(2756.52737,0.00329078906)
"D002698"	(640.3968688,0.000763805401)
"M001776"	(2745.984688,0.00327825482)
"B015695"	(2427.942779,0.002898638473)
"C010795"	(2412.783484,0.002880020136)
"F012118"	(1653.597324,0.001975719264)
"J005815"	(1963.642798,0.002343474746)
"C015432"	(2694.713677,0.003219270806)
"D008753"	(2412.861923,0.002880921438)
"L007853"	(2660.385234,0.003178455492)
"N016053"	(1734.217107,0.002069283566)
"K004688"	(1626.352144,0.001941784558)
"K005909"	(939.9640058,0.001122002185)
"N016122"	(2398.045722,0.002863395907)
"K012589"	(1101.444864,0.001314873582)
"M011174"	(2608.343187,0.002630207289)
"A013760"	(2584.015335,0.002605811546)
"G002701"	(2684.962269,0.002707448381)
"I013958"	(2492.441884,0.002514113859)
"N005701"	(2224.982392,0.002242609732)
"P006046"	(1509.726162,0.001524071408)
"J016160"	(2150.843911,0.002169793816)
"L016072"	(639.5914254,0.0006451664713)
"F015713"	(1641.060434,0.001655319607)
"F014456"	(2225.856681,0.002244765205)
"D003759"	(1065.514872,0.001068493242)
"L011356"	(2425.981409,0.002447558292)
"K003970"	(2366.059547,0.002385228401)
"L003071"	(1474.617683,0.001486795102)
"M016199"	(2468.79726,0.002489237647)
"C009442"	(1698.534241,0.001713283579)
"C003214"	(2371.258699,0.001162281627)
"I007313"	(2759.887717,0.001352116987)
"M002702"	(1961.12823,0.0009607217476)
"O005824"	(1437.980744,0.0007046018105)
"J007405"	(1890.072162,0.0009265110859)
"G006888"	(1260.963082,0.0006170796644)
"J012313"	(970.9978706,0.0004766187064)
"F015769"	(2519.04524,0.00123344856)
"E004283"	(2662.713276,0.001305432583)
"P012446"	(2926.29992,0.001435692011)
"H004037"	(1830.608035,0.0008960563604)
"F013523"	(1445.958594,0.0007088650097)
"G003170"	(2486.94736,0.001218426395)
"B011019"	(2637.207191,0.001291511091)
"E009021"	(2443.443924,0.001194062165)
"F008855"	(2506.622955,0.001226575987)
"F001264"	(2165.881298,0.002062240005)
"J002314"	(2730.696523,0.002600415957)
"L002196"	(1448.243711,0.001380406719)
"B007146"	(2323.918639,0.002216811715)
"N005634"	(2195.51756,0.002092266489)
"G012666"	(1343.919971,0.001280128085)
"K009985"	(2677.987935,0.00255097282)
"O002254"	(2226.399425,0.002120372417)
"C003397"	(368.1717303,0.0003512383208)
"F013336"	(1907.53524,0.001817556302)
"B009418"	(469.7445902,0.0004472417884)
"F000314"	(1875.276148,0.001786719078)
"I008912"	(2786.80218,0.002656002021)
"N011915"	(1133.563111,0.00107991706)
"G012101"	(2677.3474,0.002551741707)
"G002049"	(2581.092749,0.002460761778)
"G000171"	(550.0425703,0.0001709675113)
"P007454"	(1664.440176,0.0005164053358)
"J016245"	(2348.186338,0.0007275783885)
"N010509"	(2691.243966,0.0008377976787)
"A000083"	(2605.086651,0.0008067310035)
"L010966"	(280.9219995,8.756169166e-05)
"G008685"	(2787.859641,0.0008636160014)
"K006827"	(2760.967159,0.0008578810848)
"N011054"	(334.7837752,0.0001039111589)
"O015016"	(2561.297182,0.000793132675)
"B006656"	(2549.419325,0.0007908025231)
"G015661"	(992.4334681,0.000308111859)
"F005256"	(2065.954238,0.0006405338383)
"C004993"	(1622.514463,0.0005024931711)
"J008341"	(2434.552315,0.0007572164838)
"F007598"	(1976.899701,0.0006141781321)
"H013944"	(1748.951891,0.002036068167)
"K015923"	(2717.896709,0.003163862646)
"A007536"	(2813.869854,0.003275590193)
"D009518"	(185.6134566,0.0002159657423)
"N003484"	(1594.398679,0.00185200459)
"G002221"	(407.7163031,0.0004746344223)
"O011779"	(2656.499124,0.003094079315)
"D001842"	(2741.663092,0.003191192421)
"F015006"	(383.704493,0.0004473941248)
"O011645"	(1013.382476,0.00117981917)
"G015565"	(1009.213372,0.001173727481)
"N015401"	(702.3310697,0.0008191672217)
"F003024"	(1986.662263,0.002315122918)
"D004335"	(2717.06129,0.003165973523)
"M013354"	(1467.709954,0.00170895421)
"L014711"	(2275.543308,0.002649524734)
"F014530"	(2213.078005,0.002298016089)
"J012468"	(1292.819152,0.001341394979)
"M004080"	(2081.567194,0.002160395848)
"I009510"	(2256.903703,0.002344052069)
"E001407"	(2683.986267,0.002785835245)
"F014523"	(1205.443076,0.001250276092)
"K005595"	(2572.849928,0.002670365279)
"N010731"	(1473.188957,0.001528821448)
"O002622"	(2621.621135,0.00271974047)
"L007852"	(2519.520929,0.002614417161)
"E006836"	(1833.637022,0.001900799195)
"K002392"	(185.3528361,0.0001923911988)
"G007550"	(1657.429287,0.001720872227)
"P001833"	(1993.2114,0.002069516311)
"N001650"	(2182.201588,0.002266591658)
"G012712"	(2032.162,0.002109196912)
"I010863"	(1237.07589,-0.0009204499287)
"P009272"	(1301.851838,-0.0009688411473)
"P001727"	(1550.109079,-0.001157052188)
"O004405"	(416.0761247,-0.000309481603)
"L000736"	(2504.280082,-0.001865140168)
"M002149"	(310.2854438,-0.0002314102753)
"G005634"	(1988.704171,-0.001480785541)
"B014840"	(2733.903594,-0.002035726696)
"P009444"	(2187.329454,-0.001629322114)
"D008067"	(1845.46012,-0.001371736522)
"D006199"	(2383.35324,-0.001775450214)
"A009796"	(2577.036539,-0.0019183594)
"G003921"	(1722.989905,-0.001282976784)
"H003805"	(2250.868755,-0.00167564125)
"G013522"	(2809.706643,-0.002091411534)
"G007370"	(402.0371605,-0.0002992769154)
"P008556"	(2577.201937,0.002398484076)
"P014175"	(2641.540666,0.002458073755)
"A004936"	(2382.909056,0.002217182132)
"N005699"	(2447.909892,0.002276589467)
"L014529"	(710.9633326,0.0006612578865)
"G002917"	(2307.316422,0.002144118068)
"M000797"	(2843.499728,0.002646520461)
"F012609"	(1087.113042,0.001011610677)
"A010638"	(2179.158452,0.002027036272)
"H006734"	(2804.193585,0.002608746327)
"L009622"	(2493.41843,0.00232098559)
"L003391"	(1908.724022,0.001774046549)
"C008296"	(2888.030659,0.002687708858)
"C009284"	(2470.808243,0.002301091154)
"I001162"	(2837.887513,0.002640633847)
"N010610"	(1556.265755,0.001448778536)
"G012875"	(255.0910184,0.0001924981352)
"N001990"	(508.1276744,0.0003835850712)
"O012788"	(2154.01731,0.001625708673)
"M010677"	(2291.476275,0.001731422768)
"I000059"	(1880.188096,0.001418364622)
"N013305"	(2383.886169,0.001799860811)
"N001607"	(2654.638677,0.002004196462)
"K000254"	(1557.45167,0.001174802509)
"M004054"	(2464.994598,0.001859384386)
"E010171"	(2490.051104,0.001878526954)
"K015246"	(2274.237717,0.001713300727)
"H002979"	(2385.040759,0.001797316222)
"F005959"	(1556.112649,0.001173525414)
"A005094"	(667.1285278,0.0005044936068)
"O006609"	(2454.602662,0.00185093901)
"E005640"	(2528.922499,0.001908157325)
"I000481"	(2479.280512,0.001358693043)
"A004543"	(1764.674986,0.0009648502518)
"F009935"	(2977.496261,0.00162868363)
"N014817"	(2661.676623,0.001458367319)
"I009453"	(1572.469549,0.0008595990341)
"I002647"	(2486.002654,0.001355282871)
"L006145"	(2750.102414,0.001501200815)
"G005044"	(255.5391194,0.0001396339275)
"N006663"	(1735.607262,0.0009489652359)
"N007537"	(468.843981,0.0002569964944)
"P011138"	(2072.101152,0.001131895977)
"H001031"	(2673.922918,0.001461301137)
"O013633"	(2020.229356,0.001104031603)
"G013791"	(758.965114,0.0004153757458)
"D007951"	(2652.375669,0.001452412807)
"A006744"	(2035.779222,0.001112650995)
"K002149"	(2689.08687,0.001590846471)
"P013914"	(1226.382262,0.000725566219)
"N015349"	(1320.921464,0.0007812561526)
"O016277"	(2552.485565,0.001511279396)
"F010268"	(2345.137893,0.001384346918)
"E000301"	(2765.975214,0.00163655998)
"L012645"	(2747.845958,0.001628394758)
"O007661"	(2224.64776,0.001317635495)
"K006452"	(2238.907075,0.001324820196)
"L003995"	(3039.465652,0.001798196099)
"A009168"	(2222.684315,0.001313780485)
"K000124"	(309.0393598,0.0001832164782)
"P013755"	(1451.841401,0.0008593217625)
"F001353"	(1307.463361,0.0007732169282)
"I001377"	(2018.090314,0.001195301463)
"O012474"	(2574.089075,0.001522992057)
"F015740"	(887.5957809,0.0005904255944)
"E007957"	(492.359884,0.0003284367208)
"M000984"	(2464.288081,0.001637246192)
"H000559"	(2235.720704,0.001485198225)
"N002127"	(2028.07339,0.001346804651)
"M014005"	(1961.132155,0.001300639474)
"E003567"	(2728.877667,0.001812873511)
"J007098"	(970.9998145,0.0006449920163)
"J005746"	(2059.38393,0.001369707662)
"I002274"	(333.3510817,0.0002224116558)
"B015238"	(1395.736731,0.0009272567959)
"O008583"	(410.5122186,0.0002724362265)
"I009358"	(2499.235394,0.001656971691)
"N005117"	(1802.535313,0.001196974306)
"K013100"	(659.7248655,0.0004366929041)
"G014376"	(255.5395272,0.0001708304046)
"A015557"	(2775.940271,0.002552118674)
"E014876"	(2285.096295,0.00210091505)
"D009924"	(2439.773999,0.002245382601)
"B001683"	(2116.487509,0.001946311573)
"E010195"	(1185.564895,0.001089468113)
"M006165"	(780.4444458,0.0007173945061)
"O005951"	(1358.887258,0.00125001501)
"Q001391"	(2707.4731,0.002489126615)
"O007562"	(1560.607156,0.001436062518)
"G007078"	(1836.964235,0.001689836285)
"A007539"	(2775.94027,0.002551326907)
"F008839"	(2526.987448,0.002325299511)
"M004063"	(1309.508989,0.001207387603)
"G008838"	(1955.790439,0.00180003702)
"J007907"	(2435.739831,0.002241108225)
"H005104"	(1632.683801,0.001501525701)
"H006033"	(1295.144336,0.00212546033)
"F014831"	(2015.699443,0.003308564571)
"M000714"	(2311.537177,0.003792306322)
"L012939"	(1435.509777,0.002355502662)
"L010878"	(2833.092374,0.004648444128)
"I012533"	(2249.611284,0.00368886805)
"A010998"	(80.91059123,0.0001326393999)
"N011022"	(1096.69351,0.001797524181)
"O014160"	(2635.126121,0.004324048244)
"C015778"	(2391.366439,0.003925041278)
"H011303"	(261.8744907,0.0004295131314)
"M008674"	(2080.336756,0.003410964775)
"O010457"	(1340.191645,0.002199627729)
"H008998"	(2517.949892,0.004131236995)
"G008892"	(1836.961475,0.003012419669)
"G002894"	(407.7157246,0.0006693652995)
"O010813"	(1545.190197,0.0003597538727)
"D014255"	(2281.598868,0.0005335775645)
"B004425"	(2223.485055,0.0005152854084)
"O011316"	(430.1282459,0.0001001860531)
"F010539"	(1277.510511,0.0002974892711)
"D004223"	(2383.352779,0.0005543257462)
"L008058"	(2260.977324,0.0005267081581)
"G006052"	(81.78132982,1.874614184e-05)
"M009257"	(2601.039541,0.000606797185)
"J013747"	(2317.484633,0.000539657744)
"D010302"	(2281.603498,0.0005308288043)
"K009773"	(2372.222051,0.0005527430356)
"I014033"	(3142.337329,0.0007428319182)
"E010721"	(2566.011269,0.000600058544)
"F014660"	(1432.092886,0.0003348104208)
"N001483"	(2122.185323,0.0004950555741)
"I016084"	(2445.849903,0.002249797993)
"B001267"	(2338.503389,0.002146979056)
"I012265"	(2019.976306,0.001854981593)
"F013445"	(1695.663331,0.001556967914)
"F006040"	(2010.325918,0.001846395495)
"N011993"	(943.1420691,0.0008659242581)
"Q001046"	(2179.793538,0.002004334358)
"D003872"	(2080.458914,0.00191150796)
"N009770"	(2775.791643,0.00255153218)
"N010999"	(1280.526377,0.001175573534)
"D005869"	(2463.556686,0.002263637422)
"A015045"	(1631.152364,0.001497780904)
"G011745"	(1513.569569,0.001390001089)
"G006745"	(755.1153008,0.000693915416)
"D005684"	(1860.200189,0.001708017346)
"O001495"	(1604.8345,0.001475600486)
"N004015"	(1375.261528,0.001107662561)
"I006684"	(1564.399342,0.001260422096)
"G012332"	(2459.179246,0.001982721871)
"F000979"	(2837.01131,0.002286019652)
"O003267"	(80.64002535,6.49780394e-05)
"N006324"	(1806.781419,0.001456768507)
"I004139"	(3100.184102,0.002499603341)
"P012514"	(1692.828704,0.001366186917)
"H010620"	(2914.335111,0.002351000171)
"B004024"	(2907.250924,0.002343410806)
"H009144"	(1608.953384,0.001295772337)
"E009193"	(482.8886737,0.000392112988)
"P010139"	(572.6260831,0.0004611102757)
"D015331"	(2704.802325,0.002181165966)
"C010387"	(1872.738172,0.00150918339)
"J002387"	(237.7804218,0.0001919187339)
"G004294"	(1836.961658,0.001238067359)
"B003005"	(2632.539096,0.001777199731)
"N000367"	(1799.28044,0.001213877072)
"E007271"	(2169.215161,0.001463453233)
"E015577"	(2408.777837,0.001623576395)
"G008944"	(2658.425071,0.001792004146)
"A001993"	(2798.086119,0.001886879541)
"H014313"	(2725.978141,0.001838577619)
"K015615"	(1050.897602,0.0007076328714)
"B006438"	(2329.608485,0.00157157783)
"F009301"	(1059.811956,0.0007158663433)
"E010155"	(348.8315558,0.0002354051507)
"G013636"	(2810.253099,0.001895567527)
"F001920"	(654.1634277,0.0004408539037)
"G008912"	(2713.776725,0.001832787339)
"G015283"	(1801.148879,0.001215829182)
"F004878"	(2054.876646,0.001280983679)
"D012935"	(2701.862384,0.001683368096)
"N008157"	(2481.271474,0.001548251191)
"A003780"	(1075.836194,0.000671215685)
"N006789"	(1786.183188,0.001114000816)
"K012925"	(2620.35582,0.001635408627)
"N001797"	(577.5928333,0.0003590782426)
"O001631"	(2126.364161,0.001329798943)
"H009363"	(3005.468212,0.001876296951)
"I007550"	(2854.456182,0.001781725704)
"F015825"	(2514.588681,0.001567200069)
"F002161"	(2858.081721,0.001779237156)
"G003221"	(2393.141724,0.001494350788)
"F003203"	(1976.898008,0.001234170269)
"E007723"	(3166.659324,0.00197769496)
"G009888"	(2881.028724,0.001795278546)
"N006273"	(1666.47259,0.0009204109562)
"K002816"	(1252.632994,0.0006894928414)
"N013215"	(1280.526555,0.0007058336823)
"C002181"	(236.1587076,0.0001298211418)
"C003897"	(2026.432665,0.001117683774)
"P000986"	(1926.715964,0.001061605643)
"C013273"	(1916.638351,0.001057325167)
"H012837"	(2322.320522,0.001282820189)
"C011555"	(2113.466171,0.001165014789)
"G000211"	(2679.859991,0.001476612073)
"B006427"	(1334.901073,0.000736128329)
"G006188"	(2096.110195,0.001155167325)
"L015429"	(1845.245616,0.001016239867)
"F009515"	(401.2308522,0.0002215857277)
"B008164"	(2558.481495,0.001410894689)
"G003909"	(330.9700678,0.0001819676104)
"I012863"	(2695.947932,0.002789564959)
"A014263"	(1668.090542,0.001726927409)
"M012592"	(1737.108774,0.001798127546)
"E015315"	(2731.226402,0.002829354288)
"I000165"	(2256.799883,0.002336529586)
"A007368"	(2453.085517,0.002541316654)
"A005737"	(2617.498261,0.002709675464)
"N001017"	(2733.762841,0.002828886445)
"K006291"	(2688.506376,0.002784391207)
"N009195"	(1330.124256,0.001376469485)
"F009419"	(1555.203335,0.001610473729)
"A002352"	(2660.626359,0.002754954126)
"N014664"	(211.8103269,0.0002188517874)
"N014940"	(1844.808054,0.001910448862)
"D015643"	(2676.805494,0.002771121795)
"L004123"	(3089.26451,0.00319773737)
"I007498"	(1802.622765,0.002510683387)
"F008105"	(1059.811234,0.001476194722)
"I010107"	(2975.840531,0.004141830273)
"C003186"	(1382.211412,0.001924820473)
"O002048"	(1078.820655,0.001501333587)
"C009955"	(2362.640814,0.003287682385)
"F001781"	(1290.872152,0.001796927455)
"I016197"	(2729.862268,0.003802533936)
"G010841"	(2518.084915,0.003506688633)
"M004463"	(2381.22143,0.003313833394)
"P015471"	(284.1884605,0.0003951975873)
"I011728"	(2630.08198,0.003660739272)
"P008820"	(2358.658657,0.003294842296)
"D007270"	(2548.438924,0.003549144808)
"G004880"	(2218.526403,0.003089772812)
"O009971"	(751.2299298,0.001047050339)
"G012283"	(2939.821641,-0.001530284977)
"A008008"	(2856.898686,-0.001486970866)
"E011222"	(2509.358818,-0.001303616404)
"K004966"	(2324.861581,-0.001209385329)
"A014777"	(27.45965922,-1.441085536e-05)
"L011286"	(1614.009625,-0.0008414437952)
"L005615"	(1303.816243,-0.0006763506638)
"P001665"	(361.0656224,-0.0001876743112)
"A001502"	(2469.18111,-0.001283398831)
"K007617"	(1511.16387,-0.0007861364645)
"M011730"	(2609.021833,-0.00135692666)
"L008230"	(2761.22768,-0.001434877045)
"C011242"	(1827.381494,-0.0009504076312)
"G005542"	(2289.777809,-0.001189550574)
"O003049"	(185.8500193,-9.642318862e-05)
"L011751"	(2459.79399,-0.00128077825)
"G004211"	(620.0321486,0.0004161820862)
"L008537"	(2845.989696,0.001910022524)
"I013134"	(2829.577947,0.00189739566)
"N002741"	(926.3685797,0.0006221698449)
"O008476"	(1864.305755,0.001250190966)
"C014455"	(1510.461165,0.001012513999)
"G013803"	(2489.977241,0.001670003352)
"F005817"	(1059.814279,0.0007109885269)
"N008113"	(2631.454405,0.00176471304)
"G006119"	(1411.271128,0.0009466087393)
"G008870"	(2311.949803,0.001552919679)
"D016079"	(1886.278511,0.001265423003)
"Q000469"	(2741.416335,0.001840847189)
"N013277"	(2869.999387,0.001925191167)
"L008466"	(1597.152715,0.001070758888)
"F001922"	(2133.146723,0.001432168657)
"E015513"	(375.0473822,0.0003676563301)
"N009497"	(2236.067297,0.002195840643)
"E006627"	(1195.960472,0.001174088774)
"D000241"	(236.8975052,0.0002330375162)
"N009433"	(2013.612084,0.001976837258)
"L012828"	(2409.39924,0.002366837044)
"E006018"	(1000.586171,0.0009824896921)
"L009029"	(2518.052885,0.00247414053)
"G003920"	(237.6518803,0.0002338311181)
"L006960"	(2119.628998,0.002080249441)
"J002160"	(2798.90539,0.002745629757)
"D014866"	(2704.800088,0.002654377605)
"H007925"	(2542.985009,0.002498828415)
"O010512"	(134.3172342,0.0001323027899)
"E003706"	(2389.468764,0.002344872919)
"F013212"	(1277.511653,0.001253719204)
"J015113"	(1507.759942,2.134336116e-05)
"I015827"	(2727.151633,3.677449539e-05)
"E003357"	(2075.610937,2.729326499e-05)
"H007177"	(2183.924691,3.140747652e-05)
"J009620"	(2493.091977,3.43741201e-05)
"M007844"	(2316.690288,3.103818682e-05)
"P002558"	(2236.063944,2.981627533e-05)
"G005119"	(1240.883985,1.643876195e-05)
"M010355"	(2932.957991,3.680008885e-05)
"K015388"	(1467.636934,1.933998229e-05)
"C004139"	(2567.563727,3.276786635e-05)
"D016104"	(2383.351714,3.077496719e-05)
"C014391"	(2669.672484,3.675838056e-05)
"E015916"	(688.0712674,9.147037781e-06)
"B005935"	(2452.824138,3.339065849e-05)
"M014025"	(1126.818977,1.533558484e-05)
"I011853"	(2764.441185,-0.0001838052088)
"N004999"	(2735.049291,-0.0001792914495)
"A014109"	(751.1834599,-4.987596027e-05)
"M005099"	(2252.236523,-0.0001469483681)
"L002729"	(2979.451609,-0.0001951982564)
"F000482"	(2419.422823,-0.0001600486128)
"K008098"	(2608.057511,-0.0001705096485)
"N013350"	(2030.547999,-0.0001336244814)
"N004536"	(2863.054352,-0.0001890169995)
"B006133"	(1949.915611,-0.0001287539581)
"K004015"	(1922.373144,-0.0001280237678)
"O003948"	(2617.434006,-0.0001750949506)
"N005142"	(1844.806693,-0.0001216518479)
"I006226"	(2764.441185,-0.0001828018252)
"C012317"	(2216.058665,-0.0001446320528)
"J003539"	(2644.254882,-0.0001733679943)
"F006982"	(2368.919223,0.001022217953)
"E008115"	(360.8154005,0.0001555063381)
"P006052"	(2640.926476,0.001140407057)
"G000563"	(1775.287536,0.0007672489817)
"B000188"	(1438.3633,0.0006225266872)
"J012587"	(886.8147534,0.0003822340292)
"L000752"	(2788.346694,0.001203691043)
"E004938"	(2289.555657,0.0009870033934)
"I015609"	(2764.442194,0.001194711098)
"G015398"	(620.031462,0.0002669419006)
"I000372"	(1880.187672,0.0008120088316)
"A008103"	(1074.717326,0.0004647291441)
"A010005"	(2405.150567,0.00103765438)
"K014470"	(2674.942594,0.001154583083)
"G002761"	(1874.67445,0.000810356885)
"G002222"	(755.1149296,0.0003266981947)
"M005966"	(2379.730605,0.0001924898825)
"Q000040"	(2642.118862,0.0002148790638)
"J002481"	(2596.715518,0.0002098859144)
"G010501"	(1174.972486,9.586439237e-05)
"I010922"	(2727.143653,0.000219158044)
"C000115"	(1901.875209,0.0001537840185)
"L014200"	(2923.983122,0.0002378046561)
"I001969"	(2764.443276,0.000223832292)
"E009994"	(2416.113948,0.000196333468)
"I015988"	(2215.610767,0.0001794078647)
"M014760"	(1482.891928,0.0001182751057)
"M002877"	(2301.264286,0.0001859229907)
"G012256"	(2664.121832,0.0002167658982)
"B006149"	(1436.666843,0.0001167159051)
"B007412"	(1984.044165,0.0001579102855)
"M011608"	(2292.137598,0.000187226795)
"K009818"	(2077.5243,0.003470443428)
"P001087"	(429.2777906,0.0007164461211)
"P004292"	(2051.469577,0.003427386884)
"N012395"	(2407.519319,0.004020713515)
"N007703"	(2870.808349,0.004793493312)
"B006474"	(1898.018078,0.003169416899)
"O010440"	(1864.303372,0.003113948441)
"E015448"	(2763.958346,0.004616473735)
"D002761"	(1860.396842,0.003107351778)
"G010895"	(558.7096262,0.0009331114021)
"D003776"	(2029.486645,0.003388973946)
"I005909"	(1989.829657,0.003323590718)
"G008116"	(1967.151244,0.00328582834)
"N012818"	(2636.64554,0.004401918089)
"E000658"	(1382.963898,0.002310160319)
"J012119"	(1562.575913,0.002610321749)
"A001775"	(1841.37625,0.001890280472)
"C005175"	(2479.501766,0.002546793989)
"I011603"	(1574.547907,0.00161755993)
"C006731"	(851.6863208,0.000874967389)
"F003577"	(1380.848062,0.00141956049)
"H005239"	(2571.831563,0.002642205138)
"F015314"	(2130.92495,0.002188459542)
"G007261"	(3157.37729,0.00324084095)
"J015342"	(2150.096887,0.00220952876)
"M006746"	(305.6278737,0.0003141287142)
"N015726"	(2482.064255,0.002546753077)
"F014108"	(2044.849079,0.002101775521)
"O014236"	(3035.292281,0.003118048261)
"I005557"	(2815.975275,0.002891957314)
"D007520"	(773.7272674,0.0007950059288)
"O002249"	(2121.324407,0.002178846672)
"A010382"	(423.8576809,0.0003624345222)
"L005482"	(2986.335026,0.002551885924)
"G009310"	(2491.913337,0.002127687075)
"K011466"	(2397.14326,0.002046521926)
"L015691"	(2665.100916,0.002277104721)
"B011702"	(2717.100798,0.0023204969)
"E012203"	(437.990359,0.0003730889659)
"C014974"	(2222.100355,0.001898050432)
"E004236"	(2343.394513,0.002001901056)
"N002747"	(2989.891949,0.002556911693)
"G005282"	(2411.505964,0.002059772292)
"K009696"	(2335.573062,0.00199421064)
"F001666"	(2301.100186,0.001966186439)
"I006482"	(2329.33968,0.00199051928)
"B004784"	(2758.028056,0.002356845457)
"F013390"	(1115.087997,0.0009541933185)
"E003788"	(1241.09653,0.001130698259)
"M014423"	(2217.339441,0.002021363956)
"J003821"	(2859.016845,0.002605960139)
"E001727"	(2235.125552,0.002039199592)
"I008525"	(1367.476108,0.001246257588)
"P014591"	(1477.658578,0.001347521077)
"F001905"	(1462.506458,0.001332503705)
"M001008"	(889.1657994,0.0008110119058)
"P001743"	(937.955654,0.0008550619016)
"F004466"	(2096.553421,0.001911076142)
"F013772"	(2092.035283,0.001902300243)
"G000554"	(2547.418905,0.002323513147)
"A006185"	(1812.411175,0.001651859929)
"P010425"	(2258.912956,0.002059872464)
"P015371"	(2885.539371,0.002630717516)
"F000439"	(1316.24111,0.001199824407)
"H003067"	(491.0936128,0.000322979586)
"G000545"	(2642.509893,0.001738251827)
"A003831"	(1691.076757,0.001113461409)
"D008558"	(2402.167367,0.00158041886)
"G010989"	(2788.513491,0.001835600276)
"J006116"	(383.249334,0.0002526956812)
"C007833"	(54.57570854,3.602502222e-05)
"K004995"	(2593.589328,0.001705592414)
"D001375"	(2128.674997,0.001402975444)
"G010809"	(2642.509894,0.001737750884)
"C004869"	(2926.817497,0.001927540359)
"E001491"	(2160.754873,0.001420778798)
"F003717"	(1023.579738,0.0006738455964)
"N004233"	(426.9117814,0.0002811532154)
"J009894"	(1187.826605,0.0007837231037)
