"K008552"	(676.2830506,0.0005559773189)
"G014856"	(292.2545774,0.0003770543095)
"F006844"	(-108.2030181,-0.0002281013159)
"M015633"	(167.8379173,0.0001858805605)
"M005692"	(-587.2761433,-0.0003732068193)
"P004659"	(103.4161641,-4.861127789e-05)
"G012088"	(-476.1462976,-0.0002360437761)
"B008459"	(-107.7928231,-0.0001896036844)
"M015931"	(270.8958813,0.0003564087236)
"N013663"	(-84.81266117,-0.0001378382546)
"H001250"	(198.6853454,-8.458391904e-05)
"E004971"	(-162.0210459,-0.0001392871942)
"A006060"	(-210.6501079,-0.0001626508771)
"G004375"	(-642.5863819,-0.0003536155458)
"L014949"	(19.58026017,-0.0002478750089)
"J000974"	(-241.202335,-0.000175550255)
"G009301"	(464.4353876,0.0002429441635)
"L014136"	(-401.2712626,-0.0001554625297)
"G003761"	(85.92017334,7.510686417e-05)
"P013178"	(266.5481039,0.0002452471423)
"E003897"	(-8.777033826,-3.985369538e-05)
"G009288"	(661.5847679,0.000462152692)
"K001933"	(10.9358693,4.729569841e-05)
"G001825"	(-276.5892587,-0.0003185184014)
"K013966"	(588.4361063,0.0006132859776)
"P000255"	(638.2928753,0.0003653218497)
"L006223"	(-111.4800685,-0.0001984184548)
"A006522"	(-210.6502188,-0.0002406214277)
"B000476"	(-837.2811063,-0.0005145965636)
"G016331"	(253.2252921,0.0002599756432)
"N015903"	(394.8485121,0.00040489503)
"G001749"	(-20.680536,-4.425281564e-05)
"K011330"	(-8.928865902,5.929926436e-05)
"M001044"	(-323.3009635,5.684707062e-06)
"K001863"	(-22.27854347,-2.450295566e-05)
"J009995"	(-130.8291845,-0.0001280536643)
"K013266"	(-121.1840431,-0.0002136053708)
"L002055"	(-335.1027414,-0.0002007255088)
"G012339"	(137.0442753,7.218038786e-05)
"G002166"	(-265.7346396,-0.0002729842573)
"M000429"	(-517.1373698,-0.0004516204966)
"O015892"	(12.00922108,-0.0001030961274)
"F000520"	(-372.7131202,-0.0002955397375)
"F015677"	(64.1285655,-0.0001158199185)
"O000580"	(541.333883,0.0004477029456)
"C013439"	(-400.0417075,-0.0003097579513)
"G004176"	(-265.7346315,-0.0002559048778)
"P006854"	(-447.0127111,-0.0002645028515)
"K000377"	(-473.9431188,-0.0004531135027)
"K016163"	(241.2832069,0.0004386900101)
"J012039"	(621.5731841,0.0005989080088)
"P002488"	(429.2621999,0.0002390597058)
"D013817"	(24.22451762,7.642307021e-05)
"M015903"	(159.5358224,8.652986719e-05)
"I000951"	(-375.976712,-0.0002530767157)
"K014384"	(140.1765991,0.0001673546553)
"F006876"	(283.4011044,0.0001217753758)
"P001990"	(-121.4805301,4.871264796e-05)
"N007651"	(470.9466897,0.0003694202236)
"G000977"	(-206.5186173,-0.0002086995189)
"K011222"	(217.9846185,1.693096016e-05)
"G015014"	(-69.07847537,-9.901764233e-05)
"K013658"	(-522.2900804,-0.0004954720372)
"L012897"	(234.791657,0.0001290817473)
"G002296"	(437.1992023,0.0002392472986)
"G016050"	(196.6481533,0.000213703668)
"P013394"	(-121.4802118,-5.563830807e-05)
"M008019"	(389.5470454,0.0004257799967)
"A000241"	(677.6235595,0.0004215027252)
"O011552"	(-149.8430434,-0.0002104830433)
"I007401"	(79.96644032,-7.046309862e-05)
"K007665"	(884.2335292,0.0006863678669)
"H016340"	(223.1673214,-8.762638823e-05)
"C005992"	(67.4189786,0.000279979867)
"G015863"	(269.3870301,5.34325851e-05)
"E009707"	(490.1078391,0.0001675049653)
"C010543"	(-720.1285744,-0.0004256639084)
"N003710"	(-66.21086431,-0.0002263341789)
"C011133"	(-258.7769043,-0.0002506359099)
"I009351"	(809.0570683,0.0004416954908)
"L012954"	(-611.9341991,-0.0003321973282)
"N011432"	(-206.7352304,-0.0002564211184)
"F016358"	(151.72692,-7.807188451e-05)
"D015252"	(70.80467038,5.327062164e-05)
"O005765"	(-584.6838359,-0.0003577778217)
"G011708"	(-94.40012745,-3.487288933e-05)
"Q001555"	(-31.77633348,-5.848524823e-05)
"A013586"	(39.69811323,2.667391455e-05)
"G012533"	(487.473641,0.0003702903827)
"L010466"	(785.58793,0.0001245658512)
"Q001717"	(-140.3925465,-9.832819123e-05)
"C008930"	(-118.412138,4.402762352e-05)
"G007208"	(-263.4654093,-0.0001635314447)
"L002865"	(-668.7163417,-0.0003567431858)
"F013161"	(283.4013254,8.027126582e-05)
"F013998"	(8.275364491,1.788681173e-05)
"H013123"	(-386.6626243,-0.0003925502569)
"D008054"	(-438.1785063,-0.0003913250652)
"I014789"	(95.58222111,3.678602807e-05)
"H002972"	(-250.0201011,-0.0002371771352)
"N008677"	(9.173507106,0.000121147619)
"A005922"	(301.8600867,0.0003325315987)
"M001313"	(-873.1303088,-0.0007775792527)
"M005518"	(-193.6732074,0.0001532794642)
"G011087"	(340.2153841,0.0002099441026)
"O000550"	(-64.18227373,-0.000166419176)
"L009490"	(-578.4796795,-0.0006010713338)
"L004376"	(-727.5725722,-0.0005770193755)
"F000452"	(388.6694388,0.0002504058162)
"J015929"	(164.773322,0.000256956007)
"K016123"	(-42.76036779,-4.071636765e-05)
"M005176"	(-499.2120591,-0.0002033029761)
"C007970"	(-1078.436212,-0.0008043707051)
"O007099"	(-613.4290817,-0.0005220211218)
"E002261"	(701.9862936,0.0004860249809)
"F010146"	(-117.3826838,-0.0002559865827)
"G003121"	(-94.935397,-0.0001023708984)
"G004831"	(-94.93541661,-9.069833493e-05)
"K003498"	(-365.8775218,-0.0003783996656)
"L003813"	(-184.3315709,-0.0001455724958)
"K011981"	(-21.21173638,0.0001347576017)
"M010134"	(-230.7551699,5.080127071e-05)
"I005358"	(335.8443578,0.0003373357307)
"F010427"	(-69.78419022,-7.216058257e-05)
"G009367"	(340.2150033,0.000273141274)
"I010432"	(-258.7154388,-0.0005509738011)
"L005465"	(-173.7757974,-0.0002870765661)
"G000559"	(-975.3126202,-0.001026244701)
"O007499"	(-295.7536069,-0.0003147749178)
"K010471"	(-525.5868861,-0.0006252618636)
"G009441"	(500.6596606,0.0006914433973)
"Q000292"	(360.8354569,6.457145199e-07)
"C005790"	(-303.9927845,2.792889676e-05)
"G006034"	(340.2152596,-3.845980455e-05)
"M006624"	(-221.257873,9.736653432e-05)
"K014311"	(972.3505695,2.714652199e-05)
"D012456"	(119.9587477,-4.08134708e-05)
"M006774"	(-587.2762373,-0.0001337786986)
"K015782"	(542.9147282,0.0002816171408)
"G010533"	(404.0424104,-3.334208907e-05)
"I000651"	(117.6723153,-7.479654962e-05)
"C004251"	(-882.916085,-0.0003251597115)
"O007522"	(-138.1350487,-0.000102275864)
"M005289"	(-299.23757,-7.694931748e-05)
"A014768"	(35.21741552,9.811315963e-06)
"G000611"	(-106.2165703,-7.793808151e-06)
"L008160"	(246.4327112,5.916247018e-05)
"A013442"	(432.7072689,6.715625658e-05)
"D000118"	(119.9588084,4.346632491e-05)
"D008431"	(-224.5994892,-0.0001767361087)
"G011220"	(-94.93555559,-5.807495744e-05)
"L004563"	(-617.0146413,-0.0005769712362)
"G003866"	(340.2154706,0.0001501734679)
"O005661"	(159.9575492,0.0002376891228)
"I000825"	(5.53015698,-5.831583225e-05)
"P015090"	(796.5041009,0.0005258265094)
"M007474"	(-717.9678434,-0.0005778751927)
"J003664"	(-421.6953816,-0.0003586099571)
"K011467"	(-211.5402103,-0.0002462007605)
"G015376"	(379.1096291,0.0001821787268)
"M001605"	(-212.7179687,-0.0002355574438)
"G009361"	(340.2154714,0.0001682862349)
"N001465"	(654.2065593,0.000395494779)
"G008706"	(524.8761469,0.0001405169402)
"A009584"	(498.1618559,0.0004407196826)
"L002188"	(326.0742446,0.00020581818)
"M005095"	(-68.30982295,-9.302327705e-05)
"A011507"	(-253.3036685,-0.0001118431532)
"L009362"	(171.6500712,3.432835107e-05)
"G001433"	(-94.93551238,-8.029680046e-05)
"B014114"	(-14.87935485,2.432368565e-05)
"G007529"	(398.3136287,0.0002395741785)
"C009423"	(-99.49632009,-7.121106239e-05)
"G000358"	(-151.1508696,-0.0001867301978)
"G001245"	(-122.8131073,-2.527486609e-06)
"N010691"	(-1076.383686,-0.0007676496075)
"H005733"	(-256.1562848,-0.0002551773233)
"H012758"	(-118.5079791,-0.0001061184057)
"G014826"	(-94.93537363,-7.27395416e-05)
"A000781"	(374.3821478,0.0001231812548)
"F005216"	(312.3572548,0.0001069197988)
"G001673"	(-251.445299,-3.1919848e-05)
"N001892"	(-460.6441089,-0.0001540699353)
"F002655"	(-543.2199059,-0.0002802202992)
"G008666"	(379.1092448,6.50473698e-05)
"N010580"	(-89.49051485,4.390443016e-05)
"K000435"	(596.9535125,0.0003341858603)
"N014061"	(-89.49053469,5.374708111e-05)
"B011700"	(370.5971014,9.146232629e-05)
"A011440"	(-351.0970473,-0.0001601352009)
"G006367"	(464.9930464,4.349023613e-05)
"I015268"	(-28.11810225,-7.493578045e-05)
"E013986"	(-175.9925803,-7.608755124e-05)
"I012377"	(364.4109519,6.672545393e-05)
"K009992"	(132.9270361,-7.144696719e-05)
"K011161"	(-266.1748378,-0.0001075661132)
"C000594"	(-833.8928487,-0.0005856266599)
"F014386"	(-1358.01036,-0.0004368835754)
"I008682"	(-592.8207735,-0.000467398425)
"I008742"	(-96.27293062,-7.780276813e-06)
"D001544"	(817.6909707,0.0003873404387)
"P000589"	(126.5805435,0.0001006812823)
"O007669"	(-385.8569216,1.029953911e-05)
"F001145"	(-351.5506627,-0.0001285396479)
"G008464"	(744.1884571,0.000304368346)
"G003443"	(744.1884542,0.0002930522249)
"K000325"	(542.9147028,0.0004324652844)
"C015200"	(-2.88205697,1.833549523e-05)
"G008787"	(-50.68033267,3.757147893e-05)
"G014278"	(-94.93547007,-3.449471759e-05)
"E000655"	(489.8996032,8.786993333e-05)
"B015758"	(229.2752838,-0.0001008051628)
"K001626"	(-128.5635282,0.0001032913243)
"N005563"	(-150.8506495,2.264728668e-06)
"J004119"	(-456.7424024,6.802390777e-05)
"O001041"	(-44.57902859,1.831513039e-05)
"I001821"	(149.0963748,4.436236161e-05)
"D006027"	(-49.24686383,-0.0002075838995)
"L009363"	(-617.0144394,-0.0004546874345)
"O000177"	(253.2632411,9.763027016e-05)
"F003864"	(-543.2203137,-0.0004004943523)
"G012715"	(-317.6626714,-0.000153857591)
"K001377"	(699.375731,0.0004643917125)
"D003177"	(60.82146772,-7.31583217e-05)
"O001878"	(-450.5941852,-0.0002234438395)
"G010471"	(-94.93550508,-4.817663962e-05)
"G006585"	(-104.9934182,-4.636444179e-05)
"G004550"	(702.8857424,0.0001506112363)
"F015312"	(362.6501544,0.0001133527929)
"P014416"	(-72.19368549,-8.558635293e-05)
"D010247"	(817.6913678,0.0004487010363)
"G000097"	(253.1442365,3.727657334e-05)
"K007546"	(578.1324081,0.0005070440783)
"I009559"	(126.923973,6.963462721e-05)
"L008849"	(228.7610291,7.025307287e-05)
"H004877"	(408.6212012,0.0002590949441)
"O004274"	(184.7940554,0.0001148642564)
"G010814"	(-232.9754565,-0.0002555936762)
"A000443"	(901.9686828,0.0005734557269)
"G006261"	(-45.31059574,5.915587003e-05)
"O011911"	(-598.5738023,-0.0002764567342)
"G003932"	(601.3502664,0.0002433797884)
"G014529"	(-162.2899087,1.505728184e-05)
"J007708"	(168.214604,0.000247020938)
"J005096"	(-1016.187563,-0.001337019247)
"M004828"	(62.62828019,2.157716053e-05)
"G007454"	(62.59967748,0.0001609506174)
"I012048"	(-13.77841597,1.640309449e-05)
"D011518"	(98.13893053,0.0001596211565)
"G004082"	(-224.9395873,-0.0002452546411)
"C005545"	(-212.6093844,-0.0003056480178)
"N003519"	(-119.4778136,-0.0001399748321)
"G013871"	(379.1094441,0.0003811022814)
"P009901"	(-220.130428,-9.847847952e-05)
"I001119"	(330.4087643,0.0005663404837)
"L004074"	(-611.9343586,-0.0007347709086)
"B011897"	(311.4523091,0.0001829550282)
"G013884"	(-71.43224451,1.204080563e-06)
"Q001439"	(263.1391314,0.0001557339439)
"N010051"	(-74.75827742,5.064787897e-05)
"F010452"	(282.3359236,0.0002430044066)
"K000130"	(41.30908401,1.817019922e-05)
"O002741"	(-802.3815669,-0.0005093832363)
"O015389"	(413.8962684,0.0001390538625)
"H010519"	(723.1779144,0.0004787501663)
"C001638"	(-896.4439037,-0.0009457826249)
"M008244"	(-490.9470791,-0.0004434049453)
"N011784"	(1048.090488,0.0007123478394)
"D002896"	(-541.2307434,-0.0004618035937)
"D005811"	(922.3137341,0.0007803620194)
"C008786"	(-801.9538373,-0.0006579556674)
"C013969"	(-626.10061,-0.0005112163589)
"F004413"	(-439.4093758,-0.0005528710675)
"G009501"	(744.1883317,0.0006010134235)
"H015284"	(-180.406819,-0.0002032453981)
"G014200"	(62.59967479,0.0001310932374)
"O000513"	(-470.7369386,-0.0004437503106)
"C003881"	(-364.1571115,-0.0001892105452)
"C000201"	(28.2786727,6.797858088e-05)
"C002758"	(169.0991559,0.0001241822213)
"M011075"	(355.1969201,0.0002712466179)
"O004238"	(63.59096125,1.93687426e-05)
"N013331"	(412.4724052,0.0002073648041)
"M010241"	(852.2950183,0.0009302898092)
"F005946"	(-479.0504576,-0.0004683617402)
"K001997"	(84.75266644,0.0003227960934)
"L010958"	(391.9589361,0.0002361529721)
"N001530"	(565.4603035,0.0003847200878)
"A005452"	(165.2467459,-5.91702732e-05)
"I003317"	(-345.8239595,-0.000127328815)
"A012938"	(542.0140328,0.0005787644109)
"G005950"	(393.580942,7.041132508e-05)
"F005178"	(-285.7196566,-0.0001448939107)
"L014596"	(-0.1029658637,4.619248283e-05)
"F010447"	(72.23305379,4.336637339e-05)
"G001910"	(25.32685249,1.330338385e-05)
"G000765"	(-481.7241212,-0.000236279171)
"G014135"	(417.6128925,0.0003845128477)
"D001020"	(-551.933115,-0.0002203467376)
"C015381"	(-217.55053,-5.977374314e-05)
"N011886"	(394.7853796,0.0002209473192)
"M005293"	(-315.0763912,-0.0002049957303)
"L014376"	(-54.46936739,6.543042718e-05)
"E001535"	(259.5829893,0.0001670980877)
"N005150"	(6.352199536,0.0001278195469)
"P008397"	(746.0764765,0.0006216556141)
"G008217"	(-413.592327,-0.0002336265602)
"G006873"	(-481.7235819,-0.000236339599)
"B014488"	(-20.72367961,-4.709061065e-05)
"D004240"	(559.3890532,0.0005120571779)
"F006249"	(362.6497999,0.0001519851422)
"F011539"	(-307.0230243,-0.0002640377288)
"E009324"	(-197.6444396,-0.0003192749456)
"N008125"	(234.3732368,9.42271529e-05)
"C004199"	(-792.0798061,-0.0005115155832)
"O004187"	(-116.0709393,-2.27901143e-06)
"M015062"	(-499.6128879,-0.0003678133214)
"N003172"	(-1377.826729,-0.0007658894259)
"C011462"	(-39.70186846,-6.054407544e-05)
"F015888"	(-305.1077466,-0.0002681745422)
"C013584"	(-293.370983,-0.0001405489697)
"N004298"	(40.13946788,-2.012699372e-05)
"N008208"	(240.9837765,6.160945544e-05)
"O004534"	(613.2639548,0.0005298676092)
"K002620"	(6.522460211e-07,-6.140470781e-07)
"K013632"	(402.5764687,0.000229172683)
"N006626"	(-1295.122394,-0.0008439938038)
"O000332"	(117.4198986,4.031316836e-05)
"B014864"	(-7.721757698,9.041357162e-05)
"G015252"	(-228.8347986,-0.0001346568362)
"I004321"	(24.91684141,0.000209278772)
"L012748"	(0.5318737688,-8.08312321e-05)
"N004090"	(365.5755532,0.0001749252031)
"A013940"	(572.2738594,0.0004740235627)
"O014499"	(-237.1928849,-0.0001234687271)
"F014765"	(277.0645408,0.000437036922)
"N004660"	(-164.3009153,-0.0001079450859)
"A014970"	(526.9438508,0.0004257200301)
"K007970"	(258.8821095,0.0004264387277)
"Q001347"	(-139.6430315,-0.0001324312491)
"K010255"	(56.93145404,2.702922599e-07)
"L003134"	(329.5154196,0.0001444024389)
"O011984"	(202.551791,0.00013660815)
"F009815"	(-918.7789659,-0.0004746545298)
"K006002"	(-469.8632018,-0.0001466882067)
"N016254"	(-250.1264292,-5.326168941e-05)
"Q001078"	(-250.5623406,-0.0004060292276)
"D008757"	(-551.933043,-0.0001352874819)
"M014825"	(-781.3354452,-0.0003482644862)
"M008784"	(308.3146247,0.0001468004045)
"A013240"	(301.36083,8.756789475e-06)
"G010777"	(-153.5618942,-0.0001041605531)
"E006361"	(149.2149186,-0.0001063582601)
"H013849"	(-195.2641391,-9.550421231e-05)
"M007793"	(-42.52756931,-8.807501454e-05)
"I015562"	(185.9555624,0.0001128922116)
"N004132"	(2.80997945,-3.109221222e-05)
"E002310"	(-642.7925518,-0.0005329005234)
"L015228"	(54.55212233,-6.607398783e-05)
"G004321"	(-229.7906633,-0.0002169410183)
"C004528"	(-527.8883333,-0.0004285572032)
"I014763"	(75.04825004,0.0001523980949)
"H007021"	(127.2713863,3.955624996e-05)
"I011374"	(-162.4685683,-5.778708282e-05)
"J003366"	(-234.2833763,-0.0002371504692)
"M009466"	(-539.9617426,-0.0004783589829)
"O001331"	(477.9685605,0.0005262486808)
"H001054"	(208.4780127,-2.853272262e-05)
"M011890"	(-185.8418675,-0.0001415674462)
"G011915"	(502.6149669,0.0001731431445)
"E004993"	(-163.6258129,-0.0003004874358)
"Q000245"	(45.86599425,5.355016066e-05)
"F013367"	(-664.079323,-0.0005667830154)
"H005712"	(509.0073081,0.0002265510916)
"M006990"	(-375.4318296,-0.0002702412566)
"G001129"	(659.1311993,0.000580374335)
"M005119"	(-1018.853649,-0.0008535546257)
"J001565"	(-196.2597013,-0.0002123267822)
"F013513"	(-669.9781004,-0.0004218947863)
"I011347"	(117.6722573,1.228260071e-05)
"B012608"	(-163.1057072,-0.0001447480071)
"O014321"	(453.0015007,0.000460826952)
"G012548"	(25.32681576,1.816908973e-05)
"A011591"	(23.13645965,3.846823447e-05)
"M002244"	(376.7796703,0.0002907494229)
"G013927"	(228.6678105,0.0001340979646)
"I014383"	(-102.0359557,-8.176507998e-05)
"A001461"	(525.2991925,7.810260546e-05)
"G005003"	(-228.834815,2.608795703e-05)
"N015290"	(5.819162465,1.68443107e-05)
"K005919"	(-407.4167684,-8.769285182e-05)
"O000951"	(454.0597178,0.0001514825454)
"P013756"	(-374.9960101,-0.0001021024524)
"G003968"	(417.0266383,-0.0001019108035)
"O001906"	(112.1222176,3.574782772e-06)
"N009727"	(-1484.90898,-0.0001211249771)
"N005654"	(896.7193464,5.414050629e-05)
"N000960"	(311.7359939,7.126063931e-05)
"A015746"	(35.21741227,9.82282646e-06)
"E008105"	(269.6769631,0.0001719244037)
"D015894"	(-374.7795209,-4.313919117e-05)
"G003122"	(-118.2858811,-7.680064482e-05)
"D010044"	(-173.3191132,-6.01489259e-05)
"N000040"	(-388.6592947,-0.0003910548503)
"O002111"	(17.93503197,-1.227007095e-05)
"N010986"	(-533.0282784,-0.0005582023984)
"A009891"	(-4.46794205,-0.0001071623197)
"G012507"	(477.4981715,0.0004503452094)
"F013745"	(-243.4650963,-4.877857948e-05)
"G000918"	(-971.9879125,-0.0007638456725)
"D012776"	(-643.4981581,-0.0006154019927)
"G004283"	(-223.1561637,-0.0001256670217)
"F010781"	(-316.5888646,-0.0002813749783)
"I008415"	(889.8692776,0.0006392032571)
"K009599"	(482.078149,0.0005007575755)
"F007444"	(-988.4565185,-0.0007103871004)
"L007243"	(-228.4152775,-3.876538992e-05)
"P008803"	(290.6523361,0.0003887262318)
"N012801"	(-91.86218308,0.0001051333857)
"N007011"	(351.0182088,0.0001377032587)
"F013097"	(419.4380739,0.0002429789858)
"J012223"	(-619.3645181,-0.0003459953367)
"L011334"	(-380.2361581,-0.0003411273449)
"H000832"	(703.3939019,0.0006747605473)
"O011215"	(-299.6851794,-4.912413462e-05)
"H008629"	(157.6295953,2.319271687e-05)
"D008952"	(151.8306008,0.0001834793952)
"O014756"	(222.1533225,0.0002818335576)
"C015891"	(-125.7317203,-0.0002535033271)
"E008467"	(217.6417424,0.0002316060942)
"N003456"	(-1484.396476,-0.001078828359)
"B002434"	(-557.8062432,-0.000406876256)
"L008013"	(54.55211244,-7.656484314e-05)
"N001416"	(-190.8362419,-0.0002947856408)
"G002715"	(-862.1340657,-0.0006801141774)
"J009836"	(-164.3282477,-0.0001236539892)
"N013186"	(310.14225,0.0002047676965)
"O005811"	(-117.8145352,-0.0003253568082)
"P015660"	(833.5643428,0.000635269573)
"F010037"	(-469.0295268,-0.000484500481)
"G001668"	(1002.589459,0.0008802601707)
"C013576"	(803.9536234,0.0008609072414)
"K005157"	(21.41954543,7.95864764e-05)
"F002605"	(-383.7947767,-0.0002192420907)
"P015483"	(-274.1403011,-0.0003706780661)
"C000877"	(426.4735732,0.0004783087665)
"H014952"	(-770.7347772,-0.0008628789702)
"F001082"	(-671.4751008,-0.0006948314028)
"F000714"	(-379.5752351,-0.0003760893179)
"C005032"	(-1234.596387,-0.001164569263)
"O010885"	(-601.8410289,-0.0004194234546)
"G001880"	(188.6103445,-4.954131668e-05)
"G003466"	(-122.3033356,-0.0003193473745)
"A006372"	(-27.78825426,-6.109597716e-05)
"F003436"	(-513.3687588,-0.0001654641514)
"O013368"	(327.3187652,0.0001326637895)
"O001879"	(426.3686756,0.0002562273227)
"F013272"	(-69.39493777,4.684612841e-06)
"H001041"	(150.6455377,-0.000237826079)
"K004047"	(31.64535832,-0.0002766939135)
"Q000733"	(-522.5312509,-0.0001378443527)
"D003936"	(-65.53563484,-3.353076795e-05)
"K008020"	(-590.4856993,-0.000112140101)
"G005271"	(477.4977487,0.0001734474118)
"O011688"	(934.439721,0.0001434165331)
"G013698"	(-292.8095939,-1.186345139e-05)
"A009157"	(-886.4980288,-0.0002304561899)
"J006641"	(-0.5110265015,4.481769519e-06)
"H001221"	(134.7053537,3.07587096e-05)
"G002945"	(245.9452,0.0001221711818)
"N006572"	(-55.6100871,-1.682196856e-05)
"C014376"	(-220.2250341,-2.816112743e-05)
"N009931"	(288.3793731,3.900478853e-05)
"G008007"	(245.9451907,0.0001124799226)
"L002531"	(54.55209217,-7.176193385e-05)
"H001210"	(-195.2640871,-0.0001180083173)
"D010120"	(280.7845755,0.000229266259)
"N007892"	(-989.2035157,-0.0005696553213)
"P002813"	(-211.4623366,-8.702211859e-05)
"G014708"	(245.1420536,9.340059503e-05)
"M016075"	(103.2026198,3.881722365e-05)
"F015417"	(-266.2349404,-0.0002580119892)
"P005409"	(213.897657,3.802807445e-05)
"G011875"	(-339.5428577,-9.993078391e-05)
"P001987"	(-73.38588891,-6.607797546e-05)
"A005229"	(76.06936281,0.0002990748994)
"K005198"	(7.048856015,-0.0002935348821)
"M016205"	(-61.7986918,6.488996272e-05)
"G000080"	(467.7065413,0.0003878296831)
"L013273"	(-924.7597993,-0.0003565721478)
"O002588"	(-61.6680404,1.591848073e-05)
"B012235"	(-292.922433,-0.0002408950777)
"M013309"	(16.31203446,-3.338465203e-05)
"A015797"	(490.2657196,0.0003208662108)
"F007459"	(-301.6481326,-0.0002450885163)
"L005633"	(-313.7514607,-7.279383439e-05)
"A014160"	(170.2860609,6.679482286e-05)
"M012604"	(-186.2276334,-0.0001674525976)
"L015724"	(273.3313707,0.0001172813105)
"N011356"	(435.1398151,0.0006278392855)
"J013532"	(201.0733325,0.0001527332642)
"J002955"	(772.8347842,0.001134319739)
"J014986"	(-81.43673657,-0.0001963398374)
"D008907"	(-668.244753,-0.001039620501)
"C014013"	(-102.3020536,-0.0001284414432)
"B005216"	(-809.0500191,-0.001161888477)
"G001325"	(508.6316741,0.0006757477642)
"G008458"	(-378.9615363,-0.0003434120507)
"G001365"	(-275.4816068,-0.0003565375524)
"G000219"	(-444.5960697,-0.0004883552815)
"C003326"	(-244.2539678,-0.0002286750876)
"D012588"	(-224.7578805,-0.000338031683)
"C007364"	(237.8783434,0.0004317263634)
"P015829"	(-826.8401668,-0.001154262377)
"K007740"	(-237.9600926,-0.0001795915181)
"N007778"	(444.2168983,0.0002467500673)
"A005718"	(-50.76186114,0.0001238789786)
"F000711"	(-51.01670605,-3.419753679e-05)
"N015774"	(-1576.74442,-0.0009671454916)
"G010586"	(-306.8964459,-0.0002040624312)
"N000809"	(66.60726379,-0.0001849822485)
"K014552"	(-266.9386432,-0.0002746019238)
"G001717"	(-162.0339594,-0.0001519280216)
"F012567"	(413.8135417,0.0001868941073)
"O009654"	(-547.8082457,-0.0004765073556)
"D015308"	(282.0208592,0.0001987039796)
"G006104"	(157.8782604,-8.415169115e-05)
"L012297"	(-10.65002378,5.339467742e-05)
"O009013"	(673.7658698,0.0005069746575)
"I015248"	(418.2525833,3.232220974e-05)
"D012891"	(181.731809,9.037288334e-05)
"C008843"	(-603.2337976,-0.0004782733923)
"J006261"	(-680.2311999,-0.0006348187319)
"P004375"	(128.6134635,0.0002386348467)
"L006329"	(-2.35178997,-0.000101058222)
"G015846"	(-200.8813469,-0.0001478144951)
"F008076"	(346.5948408,0.0001981152378)
"K008513"	(51.71152064,9.150802204e-05)
"O003544"	(-223.5722747,-0.000186284106)
"E003976"	(635.3162697,0.0006317458519)
"F008114"	(-238.3659929,-7.041463038e-05)
"G000397"	(-601.335543,-0.0005174542396)
"M014001"	(-117.2849114,-1.418905774e-05)
"C005371"	(155.167222,0.0001186438673)
"A002307"	(35.21742384,3.419266898e-05)
"E010947"	(-214.7003938,-0.0003570333714)
"F004469"	(-409.0628673,-0.0004632849137)
"I008676"	(-32.62287943,0.0002255195764)
"M013907"	(274.9956809,0.0001845618574)
"L014514"	(617.4878402,0.0006467446287)
"G012323"	(-878.5668633,-0.0005500024596)
"P014664"	(970.4313101,0.0008678590254)
"K010232"	(121.0328508,0.0001279013943)
"A003596"	(49.0098178,0.0001266317598)
"K009059"	(-376.979469,-0.0002617143775)
"B010802"	(-517.9457175,-0.0005480243369)
"K003108"	(-128.3421472,1.044615502e-05)
"G000574"	(237.7800576,0.0002106740812)
"A002436"	(35.21743436,3.100908591e-05)
"F007882"	(-365.2675268,-0.0003484066022)
"G008996"	(177.4185975,1.36041185e-05)
"F002390"	(428.491925,0.000242215214)
"D008891"	(81.8228568,1.618325523e-05)
"E006658"	(-481.7518652,-0.0004329370588)
"P003929"	(216.7557127,9.913638131e-05)
"F002749"	(-24.47361555,-6.74513799e-05)
"F005993"	(643.3682752,0.0003920686648)
"E000130"	(121.5696809,-3.751452051e-05)
"B012346"	(-419.2237553,-0.0003042170098)
"I013091"	(-474.0693891,-0.0003066703766)
"G011948"	(102.1062357,8.334474985e-05)
"O004408"	(-129.9436047,-0.0001011932161)
"O007851"	(197.1726159,0.0001813767324)
"P010304"	(144.5464608,9.818450402e-05)
"F005349"	(308.1403729,0.0001744215725)
"L003107"	(-138.8475557,-0.0001277579538)
"G007361"	(73.51306119,-4.081496786e-05)
"K010108"	(119.2067384,0.0002834186359)
"F003370"	(-533.9363685,-0.0004948909993)
"F008643"	(-244.0628611,-0.0001164388422)
"D012358"	(-127.8035632,-0.0001032325554)
"N006679"	(-772.4612114,-0.0005083188476)
"L000210"	(170.9463792,-4.235878524e-05)
"G005695"	(-277.9414641,-0.0001954217676)
"F011585"	(-543.4251884,-0.0002298852961)
"O001469"	(-97.78690497,-1.938436228e-05)
"N003629"	(524.3546364,0.0005594430688)
"P012468"	(-195.0231021,-0.0003513809997)
"C002008"	(-250.0525133,-0.0001007089365)
"G008681"	(63.15793518,9.884623992e-05)
"B000385"	(-179.0468928,-0.0001307863084)
"H009528"	(-44.67049422,2.675902848e-05)
"F014481"	(428.491672,0.0002454077583)
"B005739"	(-17.20210332,6.00763729e-06)
"I011850"	(-119.6153229,-9.28505419e-06)
"C011715"	(261.9980452,3.887752954e-05)
"H010915"	(323.8582342,0.0001697523356)
"J008910"	(-274.9107512,-6.864038495e-05)
"N000737"	(720.8932116,0.0002705404002)
"J000142"	(201.0734962,4.287939638e-06)
"F013777"	(-565.2348954,-0.0004226054959)
